"Nom de la borne de recharge","Nom du parc","Adresse","Rue","Suite","Ville","Province","Code Postal","Région","Niveau de recharge","Latitude","Longitude","Coût","Mode de tarification","Type d’emplacement","Puissance (kW)"
"CEA-10605","8016 | BSR | SO | 1660 Centre","1660A Centre Montréal QC H3K 1G4","1660A Centre","","Montréal","QC","H3K 1G4","Montréal","Niveau 2",45.484356,-73.559822,1,"par heure","sur rue",7.2
"CEA-10935","8018 | BSR | SO | 4523 St-Jacques","4523 St-Jacques Montréal QC H4C 1K3","4523 St-Jacques","","Montréal","QC","H4C 1K3","Montréal","Niveau 2",45.475618,-73.591292,1,"par heure","sur rue",7.2
"CEA-10729","8018 | BSR | SO | 4523 St-Jacques","4523 St-Jacques Montréal QC H4C 1K3","4523 St-Jacques","","Montréal","QC","H4C 1K3","Montréal","Niveau 2",45.475618,-73.591292,1,"par heure","sur rue",7.2
"CEA-10537","8019 | BSR | SO | 4039 Notre-Dame","4039 Rue Notre-Dame Ouest  Montréal QC H4C 2S1","4039 Rue Notre-Dame Ouest ",,"Montréal","QC","H4C 2S1","Montréal","Niveau 2",45.477515,-73.584979,1,"par heure","sur rue",7.2
"CEA-10823","8019 | BSR | SO | 4039 Notre-Dame","4039 Rue Notre-Dame Ouest  Montréal QC H4C 2S1","4039 Rue Notre-Dame Ouest ",,"Montréal","QC","H4C 2S1","Montréal","Niveau 2",45.477515,-73.584979,1,"par heure","sur rue",7.2
"CEA-10544","8020 | BSR | SO | 3041 Notre-Dame","3041 Notre-Dame  Montréal QC H4C 2J2","3041 Notre-Dame ","","Montréal","QC","H4C 2J2","Montréal","Niveau 2",45.480917,-73.578968,1,"par heure","sur rue",7.2
"CEA-10827","8020 | BSR | SO | 3041 Notre-Dame","3041 Notre-Dame  Montréal QC H4C 2J2","3041 Notre-Dame ","","Montréal","QC","H4C 2J2","Montréal","Niveau 2",45.480917,-73.578968,1,"par heure","sur rue",7.2
"CEA-11025","8021 | BSR | SO | 6000 Laurendeau","6000 rue Laurendeau Montréal QC H4E 3X4","6000 rue Laurendeau","","Montréal","QC","H4E 3X4","Montréal","Niveau 2",45.458143,-73.588273,1,"par heure","sur rue",7.2
"CEA-11004","8021 | BSR | SO | 6000 Laurendeau","6000 rue Laurendeau Montréal QC H4E 3X4","6000 rue Laurendeau","","Montréal","QC","H4E 3X4","Montréal","Niveau 2",45.458143,-73.588273,1,"par heure","sur rue",7.2
"CEA-10847","8022 | BSR | SO | 555 Des Seigneurs","555 Des Seigneurs Montréal QC H3J 2S5","555 Des Seigneurs","","Montréal","QC","H3J 2S5","Montréal","Niveau 2",45.488813,-73.570943,1,"par heure","sur rue",7.2
"CEA-10541","8022 | BSR | SO | 555 Des Seigneurs","555 Des Seigneurs Montréal QC H3J 2S5","555 Des Seigneurs","","Montréal","QC","H3J 2S5","Montréal","Niveau 2",45.488813,-73.570943,1,"par heure","sur rue",7.2
"CEA-11343","8023 | BSR | SO | 3541 Allard","3541 Allard Montréal QC H4E 2N6","3541 Allard","","Montréal","QC","H4E 2N6","Montréal","Niveau 2",45.449282,-73.604975,1,"par heure","sur rue",7.2
"CEA-11339","8023 | BSR | SO | 3541 Allard","3541 Allard Montréal QC H4E 2N6","3541 Allard","","Montréal","QC","H4E 2N6","Montréal","Niveau 2",45.449282,-73.604975,1,"par heure","sur rue",7.2
"CEA-11215","8024 | BSR | SO | 1360 Olier","1360 Rue Olier Montréal QC H3C 0P9","1360 Rue Olier",,"Montréal","QC","H3C 0P9","Montréal","Niveau 2",45.490340289322376,-73.55942379208311,1,"par heure","sur rue",7.2
"CEA-11238","8024 | BSR | SO | 1360 Olier","1360 Rue Olier Montréal QC H3C 0P9","1360 Rue Olier",,"Montréal","QC","H3C 0P9","Montréal","Niveau 2",45.490340289322376,-73.55942379208311,1,"par heure","sur rue",7.2
"CEA-11244","8024 | BSR | SO | 1360 Olier","1360 Rue Olier Montréal QC H3C 0P9","1360 Rue Olier",,"Montréal","QC","H3C 0P9","Montréal","Niveau 2",45.490340289322376,-73.55942379208311,1,"par heure","",7.2
"CEA-11268","8024 | BSR | SO | 1360 Olier","1360 Rue Olier Montréal QC H3C 0P9","1360 Rue Olier",,"Montréal","QC","H3C 0P9","Montréal","Niveau 2",45.490340289322376,-73.55942379208311,1,"par heure","",7.2
"CEA-11468","8025 | BSR | SO | 2157 Centre","2157 Rue Centre Montréal QC H3K 1J4","2157 Rue Centre","","Montréal","QC","H3K 1J4","Montréal","Niveau 2",45.480808,-73.56592,1,"par heure","",7.2
"CEA-11471","8025 | BSR | SO | 2157 Centre","2157 Rue Centre Montréal QC H3K 1J4","2157 Rue Centre","","Montréal","QC","H3K 1J4","Montréal","Niveau 2",45.480808,-73.56592,1,"par heure","sur rue",7.2
"CEA-11239","8026 | BSR | SO | 2855 Centre","2855 rue du Centre Montréal QC H4C 3B4","2855 rue du Centre","","Montréal","QC","H4C 3B4","Montréal","Niveau 2",45.476501,-73.57244,1,"par heure","sur rue",7.2
"CEA-11270","8026 | BSR | SO | 2855 Centre","2855 rue du Centre Montréal QC H4C 3B4","2855 rue du Centre","","Montréal","QC","H4C 3B4","Montréal","Niveau 2",45.476501,-73.57244,1,"par heure","",7.2
"CEA-12794","8028 | BSR | SO | 2190 Favard","2190 Rue Favard Montréal QC H3K 1Z8","2190 Rue Favard",,"Montréal","QC","H3K 1Z8","Montréal","Niveau 2",45.475625,-73.557778,1,"par heure","",7.2
"CEA-12795","8028 | BSR | SO | 2190 Favard","2190 Rue Favard Montréal QC H3K 1Z8","2190 Rue Favard",,"Montréal","QC","H3K 1Z8","Montréal","Niveau 2",45.475625,-73.557778,1,"par heure","",7.2
"CEA-12796","8028 | BSR | SO | 2190 Favard","2190 Rue Favard Montréal QC H3K 1Z8","2190 Rue Favard",,"Montréal","QC","H3K 1Z8","Montréal","Niveau 2",45.475625,-73.557778,1,"par heure","",7.2
"CEA-12797","8028 | BSR | SO | 2190 Favard","2190 Rue Favard Montréal QC H3K 1Z8","2190 Rue Favard",,"Montréal","QC","H3K 1Z8","Montréal","Niveau 2",45.475625,-73.557778,1,"par heure","",7.2
"CEA-11232","8029 | BSR | SO | 472 Ste-Madeleine","472 Rue Sainte Madeleine Montréal QC H3K 2K7","472 Rue Sainte Madeleine","","Montréal","QC","H3K 2K7","Montréal","Niveau 2",45.480554,-73.555775,1,"par heure","sur rue",7.2
"CEA-11039","8029 | BSR | SO | 472 Ste-Madeleine","472 Rue Sainte Madeleine Montréal QC H3K 2K7","472 Rue Sainte Madeleine","","Montréal","QC","H3K 2K7","Montréal","Niveau 2",45.480554,-73.555775,1,"par heure","sur rue",7.2
"CEA-11202","8030 | BSR | SO | 256 Charlevoix","256 Charlevoix Montréal QC H3J 1N7","256 Charlevoix","","Montréal","QC","H3J 1N7","Montréal","Niveau 2",45.482396,-73.575472,1,"par heure","sur rue",7.2
"CEA-11190","8030 | BSR | SO | 256 Charlevoix","256 Charlevoix Montréal QC H3J 1N7","256 Charlevoix","","Montréal","QC","H3J 1N7","Montréal","Niveau 2",45.482396,-73.575472,1,"par heure","sur rue",7.2
"CEA-12574","8031 | BSR | SO | 2200 St-Jacques","2200 St-Jacques Montréal QC H4N 3H6","2200 St-Jacques",,"Montréal","QC","H4N 3H6","Montréal","Niveau 2",45.486783,-73.574046,1,"par heure","",7.2
"CEA-12523","8031 | BSR | SO | 2200 St-Jacques","2200 St-Jacques Montréal QC H4N 3H6","2200 St-Jacques",,"Montréal","QC","H4N 3H6","Montréal","Niveau 2",45.486783,-73.574046,1,"par heure","",7.2
"CEA-12284","8032 | BSR | SO | 6040 Monk","6040 Monk Montréal QC H3J 1S6","6040 Monk",,"Montréal","QC","H3J 1S6","Montréal","Niveau 2",45.45749,-73.595545,1,"par heure","sur rue",7.2
"CEA-12281","8032 | BSR | SO | 6040 Monk","6040 Monk Montréal QC H3J 1S6","6040 Monk",,"Montréal","QC","H3J 1S6","Montréal","Niveau 2",45.45749,-73.595545,1,"par heure","sur rue",7.2
"CEA-12107","8033 | BSR | SO | 380 Guy","380 Guy Montréal QC H3K 1A9","380 Guy",,"Montréal","QC","H3K 1A9","Montréal","Niveau 2",45.489561,-73.56622,1,"par heure","",7.2
"CEA-12101","8033 | BSR | SO | 380 Guy","380 Guy Montréal QC H3K 1A9","380 Guy",,"Montréal","QC","H3K 1A9","Montréal","Niveau 2",45.489561,-73.56622,1,"par heure","",7.2
"CEA-12026","8034 | BSR | SO | 1340 Shearer","1340 Shearer Montréal QC H3K 1C9","1340 Shearer",,"Montréal","QC","H3K 1C9","Montréal","Niveau 2",45.484391,-73.563946,1,"par heure","",7.2
"CEA-12006","8034 | BSR | SO | 1340 Shearer","1340 Shearer Montréal QC H3K 1C9","1340 Shearer",,"Montréal","QC","H3K 1C9","Montréal","Niveau 2",45.484391,-73.563946,1,"par heure","",7.2
"CEA-11910","8035 | BSR | SO | 2550 Augustin-Cantin","2550 Augustin-Cantin Montréal QC H4E 3G9","2550 Augustin-Cantin",,"Montréal","QC","H4E 3G9","Montréal","Niveau 2",45.479668,-73.570762,1,"par heure","sur rue",7.2
"CEA-11906","8035 | BSR | SO | 2550 Augustin-Cantin","2550 Augustin-Cantin Montréal QC H4E 3G9","2550 Augustin-Cantin",,"Montréal","QC","H4E 3G9","Montréal","Niveau 2",45.479668,-73.570762,1,"par heure","sur rue",7.2
"CEA-12282","8036 | BSR | SO | 5640 Monk","5640 Monk Montréal QC H4E 2M8","5640 Monk",,"Montréal","QC","H4E 2M8","Montréal","Niveau 2",45.462471,-73.59743,1,"par heure","sur rue",7.2
"CEA-12283","8036 | BSR | SO | 5640 Monk","5640 Monk Montréal QC H4E 2M8","5640 Monk",,"Montréal","QC","H4E 2M8","Montréal","Niveau 2",45.462471,-73.59743,1,"par heure","sur rue",7.2
"CEA-11911","8037 | BSR | SO | 6712 Jogues","6712 Jogues Montréal QC H4E 2M5","6712 Jogues",,"Montréal","QC","H4E 2M5","Montréal","Niveau 2",45.4502,-73.600205,1,"par heure","sur rue",7.2
"CEA-11905","8037 | BSR | SO | 6712 Jogues","6712 Jogues Montréal QC H4E 2M5","6712 Jogues",,"Montréal","QC","H4E 2M5","Montréal","Niveau 2",45.4502,-73.600205,1,"par heure","sur rue",7.2
"CEA-12064","8038 | BSR | SO | 2333 Mullins","2333 Mullins Montréal QC H3K 2V2","2333 Mullins",,"Montréal","QC","H3K 2V2","Montréal","Niveau 2",45.478807,-73.564067,1,"par heure","sur rue",7.2
"CEA-12021","8038 | BSR | SO | 2333 Mullins","2333 Mullins Montréal QC H3K 2V2","2333 Mullins",,"Montréal","QC","H3K 2V2","Montréal","Niveau 2",45.478807,-73.564067,1,"par heure","sur rue",7.2
"CEA-12469","8039 | BSR | SO | 5239 St-Ambroise","5239 St-Ambroise Montréal QC H4C 2E9","5239 St-Ambroise",,"Montréal","QC","H4C 2E9","Montréal","Niveau 2",45.467924,-73.5929,1,"par heure","",7.2
